StdOrder,RunOrder,WingLength_cm,WingWidth_cm,WingAngle_deg,Paperclip,Time_s
1,13,6.5,2,0,no,1.80
2,4,13.7,2,0,no,1.83
3,6,6.5,4,0,no,1.80
4,9,13.7,4,0,no,1.92
5,27,6.5,2,30,no,1.66
6,22,13.7,2,30,no,2.10
7,20,6.5,4,30,no,1.92
8,27,13.7,4,30,no,2.35
9,21,6.5,2,0,yes,2.00
10,3,13.7,2,0,yes,1.10
11,5,6.5,4,0,yes,1.71
12,20,13.7,4,0,yes,1.55
13,22,6.5,2,30,yes,1.65
14,25,13.7,2,30,yes,1.88
15,14,6.5,4,30,yes,1.65
16,30,13.7,4,30,yes,2.05
17,3,6.5,2,0,no,1.75
18,30,13.7,2,0,no,2.26
19,14,6.5,4,0,no,1.76
20,31,13.7,4,0,no,1.41
21,7,6.5,2,30,no,1.55
22,27,13.7,2,30,no,2.08
23,4,6.5,4,30,no,1.91
24,22,13.7,4,30,no,2.35
25,5,6.5,2,0,yes,2.20
26,17,13.7,2,0,yes,1.03
27,23,6.5,4,0,yes,2.00
28,3,13.7,4,0,yes,1.50
29,9,6.5,2,30,yes,2.25
30,3,13.7,2,30,yes,2.08
31,8,6.5,4,30,yes,2.10
32,22,13.7,4,30,yes,2.20
